subject,direction,rank,feature,coefficient,exact_source_name_match,dominant_source,source_dominance_ratio,possible_source_shortcut
chemistry,negative,13,mev,-0.848369761338219,False,theoremQA-Physics,0.9657340883489355,True
chemistry,negative,14,25 mathrm,-0.8457746337005846,False,scibench-thermo,0.35804855903310345,False
chemistry,negative,15,has volume,-0.8446839104270365,False,stemez-Physics,1.0,True
chemistry,negative,16,substance is,-0.8217607101184758,False,scibench-thermo,0.7157123709979277,False
chemistry,negative,17,which of,-0.8213440908136193,False,ori_mmlu-high_school_biology,0.18381818643645975,False
chemistry,negative,18,x_,-0.8103719905956083,False,scibench-thermo,0.5318084351553897,False
chemistry,negative,19,circ,-0.8026385523230563,False,scibench-thermo,0.31069558539769554,False
chemistry,negative,20,with kineticenergy,-0.7970150861120486,False,stemez-Physics,1.0,True
biology,positive,1,explain,2.762700477930248,False,stemez-Biology,0.7687170527955213,False
biology,positive,2,gene,2.230135694802812,False,stemez-Genetics,0.7097823329095977,False
biology,positive,3,plants,1.9790505137901213,False,ori_mmlu-college_biology,0.4412620386060643,False
biology,positive,4,describe,1.925225444226006,False,stemez-Biology,0.5846714567638096,False
biology,positive,5,plant,1.851896803994362,False,ori_mmlu-college_biology,0.5027772149007982,False
biology,positive,6,genetic,1.8306487167070808,False,stemez-Genetics,0.47635650153344994,False
biology,positive,7,why,1.6904370377874693,False,ori_mmlu-astronomy,0.3360235135889961,False
biology,positive,8,species,1.6479966709454412,False,ori_mmlu-college_biology,0.3351407461010434,False
biology,positive,9,distinguish,1.6148758309827032,False,stemez-Biology,0.8624584153324366,True
biology,positive,10,cells,1.5460804223207616,False,ori_mmlu-college_biology,0.46308350939424175,False
biology,positive,11,cell,1.533898049073406,False,scibench-matter,0.17161968128910857,False
biology,positive,12,evolution,1.4874054676250705,False,ori_mmlu-high_school_biology,0.5311946474617814,False
biology,positive,13,mutation,1.4690212397623537,False,ori_mmlu-college_biology,0.3991835359766866,False
biology,positive,14,population,1.4352666111009864,False,stemez-Genetics,0.21641314094609498,False
biology,positive,15,organism,1.4202001239873212,False,ori_mmlu-college_biology,0.39564678858776886,False
biology,positive,16,variation,1.412032142144794,False,ori_mmlu-high_school_biology,0.5836090213882211,False
biology,positive,17,dna,1.360950836746136,False,ori_mmlu-college_biology,0.38744461049743284,False
biology,positive,18,blood,1.336526658652691,False,stemez-Genetics,0.33057399889914874,False
biology,positive,19,animal,1.3175223192912051,False,stemez-Biology,0.4195723800272998,False
biology,positive,20,describe the,1.3119156516605142,False,stemez-Biology,0.5674739521755564,False
biology,negative,1,10,-1.482654980374196,False,stemez-Physics,0.0819816922863709,False
biology,negative,2,is true,-1.4808344085079046,False,ori_mmlu-high_school_statistics,0.19649617022405955,False
biology,negative,3,at,-1.3965366108222006,False,scibench-thermo,0.0905952337648855,False
biology,negative,4,how many,-1.3842853702335167,False,theoremQA-Math,0.14766893586701482,False
biology,negative,5,correct statement,-1.3581193258741195,False,ori_mmlu-high_school_statistics,0.5441252563536388,False
biology,negative,6,is,-1.192654444201922,False,ori_mmlu-college_mathematics,0.04841129293781323,False
biology,negative,7,mass,-1.135514576574396,False,scibench-class,0.1532207451991438,False
biology,negative,8,find,-1.1121497554783364,False,scibench-diff,0.13821097551735856,False
biology,negative,9,atom,-1.0476178614509009,False,ori_mmlu-high_school_chemistry,0.13982016595116084,False
biology,negative,10,sample,-1.009074951281219,False,scibench-stat,0.24802379439064387,False
biology,negative,11,mathrm,-0.985292712538274,False,scibench-atkins,0.16560688757134,False
biology,negative,12,many,-0.9713240999736853,False,theoremQA-Math,0.1328390265251298,False
biology,negative,13,true,-0.9712318632037373,False,ori_mmlu-college_mathematics,0.17497975356155523,False
biology,negative,14,per,-0.86716500757926,False,stemez-Physics,0.10014975285824004,False
biology,negative,15,gas,-0.8639603051571881,False,scibench-atkins,0.24082733948220872,False
biology,negative,16,find the,-0.8398948211664381,False,scibench-diff,0.1418034435123782,False
biology,negative,17,calculate,-0.8253760049913792,False,scibench-chemmc,0.13626134624944006,False
biology,negative,18,calcium atom,-0.82376349907112,False,ori_mmlu-high_school_chemistry,1.0,True
biology,negative,19,if,-0.8187325198358711,False,ori_mmlu-abstract_algebra,0.0933683898152863,False
biology,negative,20,equal,-0.8074986447300907,False,scibench-stat,0.10907907273252777,False
